index,Job Title,Salary Estimate,,Rating,Company Name,Location,Founded,Type of ownership,,Lower Salary,Upper Salary,Avg Salary(K)
0,Data Scientist,$53K-$91K (Glassdoor est.),,3.8,"Tecolote Research
3.8","Albuquerque, NM",1973,Company - Private,,53,91,72
1,Healthcare Data Scientist,$63K-$112K (Glassdoor est.),,3.4,"University of Maryland Medical System
3.4","Linthicum, MD",1984,Other Organization,,63,112,87.5
2,Data Scientist,$80K-$90K (Glassdoor est.),,4.8,"KnowBe4
4.8","Clearwater, FL",2010,Company - Private,,80,90,85
3,Data Scientist,$56K-$97K (Glassdoor est.),,3.8,"PNNL
3.8","Richland, WA",1965,Government,,56,97,76.5
4,Data Scientist,$86K-$143K (Glassdoor est.),,2.9,"Affinity Solutions
2.9","New York, NY",1998,Company - Private,,86,143,114.5
5,Data Scientist,$71K-$119K (Glassdoor est.),,3.4,"CyrusOne
3.4","Dallas, TX",2000,Company - Public,,71,119,95
6,Data Scientist,$54K-$93K (Glassdoor est.),,4.1,"ClearOne Advantage
4.1","Baltimore, MD",2008,Company - Private,,54,93,73.5
7,Data Scientist,$86K-$142K (Glassdoor est.),,3.8,"Logic20/20
3.8","San Jose, CA",2005,Company - Private,,86,142,114
8,Research Scientist,$38K-$84K (Glassdoor est.),,3.3,"Rochester Regional Health
3.3","Rochester, NY",2014,Hospital,,38,84,61
9,Data Scientist,$120K-$160K (Glassdoor est.),,4.6,"<intent>
4.6","New York, NY",2009,Company - Private,,120,160,140
10,Data Scientist,$126K-$201K (Glassdoor est.),,3.5,"Wish
3.5","San Jose, CA",2011,Company - Private,,126,201,163.5
11,Data Scientist,$64K-$106K (Glassdoor est.),,4.1,"ManTech
4.1","Chantilly, VA",1968,Company - Public,,64,106,85
12,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),,3.2,"Walmart
3.2","Plano, TX",1962,Company - Public,,106,172,139
13,Data Analyst,$46K-$85K (Glassdoor est.),,4.1,"Yesler
4.1","Seattle, WA",2012,Company - Private,,46,85,65.5
14,Data Scientist,$83K-$144K (Glassdoor est.),,3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA",1781,Company - Public,,83,144,113.5
15,Data Engineer I,$102K-$190K (Glassdoor est.),,3.6,"Audible
3.6","Newark, NJ",1995,Subsidiary or Business Segment,,102,190,146
16,"Scientist I/II, Biology",$67K-$137K (Glassdoor est.),,3.9,"Blueprint Medicines
3.9","Cambridge, MA",2011,Company - Public,,67,137,102
17,Customer Data Scientist,$118K-$189K (Glassdoor est.),,4.3,"h2o.ai
4.3","Mountain View, CA",2011,Company - Private,,118,189,153.5
18,Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),,4.2,"Nuna
4.2","San Francisco, CA",2010,Company - Private,,110,175,142.5
19,Data Scientist,$64K-$111K (Glassdoor est.),,4,"Pinnacol Assurance
4.0","Denver, CO",1915,Nonprofit Organization,,64,111,87.5
20,Data Scientist,$81K-$130K (Glassdoor est.),,3.2,"Porch
3.2","Seattle, WA",2012,Company - Private,,81,130,105.5
21,Senior Data Scientist / Machine Learning,$73K-$119K (Glassdoor est.),,3.9,"Health IQ
3.9","Dallas, TX",2013,Company - Private,,73,119,96
22,Data Scientist - Quantitative,$86K-$139K (Glassdoor est.),,3.8,"Truckstop.com
3.8","Chicago, IL",1995,Company - Private,,86,139,112.5
23,Data Scientist,$63K-$105K (Glassdoor est.),,4.3,"SMC 3
4.3","Louisville, KY",1935,Nonprofit Organization,,63,105,84
25,Data Scientist,$109K-$177K (Glassdoor est.),,4,"Novetta
4.0","Herndon, VA",2012,Company - Private,,109,177,143
26,Digital Health Data Scientist,$63K-$110K (Glassdoor est.),,4,"Pfizer
4.0","Cambridge, MA",1849,Company - Public,,63,110,86.5
27,Data Scientist,$75K-$124K (Glassdoor est.),,3.5,"First Tech Federal Credit Union
3.5","Hillsboro, OR",1952,Company - Private,,75,124,99.5
28,Associate Data Analyst,$34K-$61K (Glassdoor est.),,3.7,"The Hanover Insurance Group
3.7","Worcester, MA",1852,Company - Public,,34,61,47.5
29,Clinical Data Scientist,$63K-$105K (Glassdoor est.),,4,"Pfizer
4.0","Groton, CT",1849,Company - Public,,63,105,84
30,Data Scientist,$80K-$90K (Glassdoor est.),,4.8,"KnowBe4
4.8","Clearwater, FL",2010,Company - Private,,80,90,85
31,Data Scientist,$56K-$97K (Glassdoor est.),,3.8,"PNNL
3.8","Richland, WA",1965,Government,,56,97,76.5
32,Data Scientist,$72K-$120K (Glassdoor est.),,3.6,"Amrock
3.6","Detroit, MI",1997,Company - Private,,72,120,96
33,Data Scientist / Machine Learning Expert,$86K-$143K (Glassdoor est.),,3.8,"Novartis
3.8","Cambridge, MA",1996,Company - Public,,86,143,114.5
34,Data Scientist,$93K-$149K (Glassdoor est.),,3.8,"Juniper Networks
3.8","Sunnyvale, CA",1996,Company - Public,,93,149,121
35,Data Scientist,$85K-$140K (Glassdoor est.),,4.7,"New England Biolabs
4.7","Ipswich, MA",1974,Company - Private,,85,140,112.5
36,Web Data Analyst,$77K-$135K (Glassdoor est.),,4.2,"Clarity Insights
4.2","San Jose, CA",2008,Company - Private,,77,135,106
37,Data Scientist,$82K-$132K (Glassdoor est.),,3.5,"Esri
3.5","Redlands, CA",1969,Company - Private,,82,132,107
38,Data Scientist,$83K-$137K (Glassdoor est.),,4.7,"Systems & Technology Research
4.7","Woburn, MA",2010,Company - Private,,83,137,110
39,Senior Data Scientist,$115K-$180K (Glassdoor est.),,3.5,"Sartorius
3.5","Fremont, CA",1870,Company - Public,,115,180,147.5
40,Data Engineer,$74K-$138K (Glassdoor est.),,3.5,"Lancer Insurance
3.5","Long Beach, NY",1985,Company - Private,,74,138,106
41,Data Analyst,$64K-$112K (Glassdoor est.),,4.2,"Sauce Labs
4.2","San Francisco, CA",2008,Company - Private,,64,112,88
43,Data Engineer,$68K-$129K (Glassdoor est.),,3.6,"Persivia
3.6","Marlborough, MA",-1,Company - Private,,68,129,98.5
44,Data Scientist - Algorithms & Inference,$110K-$175K (Glassdoor est.),,4.2,"Nuna
4.2","San Francisco, CA",2010,Company - Private,,110,175,142.5
45,Scientist,$52K-$113K (Glassdoor est.),,3.4,"Edgewell Personal Care
3.4","Allendale, NJ",2015,Company - Public,,52,113,82.5
46,Senior Data Scientist,$110K-$150K(Employer est.),,4.3,"Equity Residential
4.3","Chicago, IL",1993,Company - Public,,110,150,130
48,Data Scientist,Employer Provided Salary:$150K-$160K,,5,"BPA Services
5.0","Washington, DC",-1,Company - Private,,150,160,155
49,Lead Data Scientist,$158K-$211K (Glassdoor est.),,3.7,"Visa Inc.
3.7","Bellevue, WA",1958,Company - Public,,158,211,184.5
50,Associate Data Analyst,$20K-$39K (Glassdoor est.),,3.1,"Intrado
3.1","Longmont, CO",1986,Company - Private,,20,39,29.5
51,Spectral Scientist/Engineer,$56K-$117K (Glassdoor est.),,4.7,"Centauri
4.7","Beavercreek, OH",1999,Company - Private,,56,117,86.5
52,College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K (Glassdoor est.),,3.7,"Caterpillar
3.7","Peoria, IL",1925,Company - Public,,63,99,81
54,Data Scientist,$68K-$114K (Glassdoor est.),,3.8,"Zimmerman Advertising
3.8","Fort Lauderdale, FL",1984,Subsidiary or Business Segment,,68,114,91
55,"Data Scientist, Office of Data Science",$86K-$143K (Glassdoor est.),,3.3,"Liberty Mutual Insurance
3.3","Boston, MA",1912,Company - Private,,86,143,114.5
56,Data Science Analyst,$41K-$95K (Glassdoor est.),,4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL",2002,Company - Private,,41,95,68
57,Data Scientist,$86K-$144K (Glassdoor est.),,3.7,"Swiss Re
3.7","Armonk, NY",1863,Company - Public,,86,144,115
58,Data Scientist,$80K-$139K (Glassdoor est.),,3.7,"Northrop Grumman
3.7","San Diego, CA",1939,Company - Public,,80,139,109.5
59,Data Scientist,$56K-$95K (Glassdoor est.),,3.5,"Sartorius
3.5","Albuquerque, NM",1870,Company - Public,,56,95,75.5
60,Data Scientist,$120K-$189K (Glassdoor est.),,4.1,"Netskope
4.1","San Francisco, CA",2012,Company - Private,,120,189,154.5
61,Data Scientist,$111K-$176K (Glassdoor est.),,4.7,"1904labs
4.7","Saint Louis, MO",2016,Company - Private,,111,176,143.5
62,Data Scientist,$54K-$93K (Glassdoor est.),,4.1,"ClearOne Advantage
4.1","Baltimore, MD",2008,Company - Private,,54,93,73.5
63,Data Scientist,$71K-$119K (Glassdoor est.),,3.4,"CyrusOne
3.4","Dallas, TX",2000,Company - Public,,71,119,95
65,Senior Data Scientist,$82K-$132K (Glassdoor est.),,4.4,"The David J. Joseph Company
4.4","Cincinnati, OH",1885,Subsidiary or Business Segment,,82,132,107
66,Data Scientist,$84K-$146K (Glassdoor est.),,4.3,"USEReady
4.3","New York, NY",2011,Company - Private,,84,146,115
67,Senior Risk Data Scientist,$107K-$172K (Glassdoor est.),,3.8,"Bill.com
3.8","Palo Alto, CA",2006,Company - Public,,107,172,139.5
68,Data Scientist in Artificial Intelligence Early Career,$49K-$85K (Glassdoor est.),,3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA",1965,Government,,49,85,67
70,Data Scientist,$61K-$109K (Glassdoor est.),,3.8,"DICK'S Sporting Goods - Corporate
3.8","Coraopolis, PA",1948,Company - Public,,61,109,85
72,Data Scientist,$88K-$148K (Glassdoor est.),,2.8,"Berg Health
2.8","Framingham, MA",2006,Company - Private,,88,148,118
73,Data Scientist,$60K-$99K (Glassdoor est.),,4.7,"Oversight Systems
4.7","Atlanta, GA",2003,Company - Private,,60,99,79.5
75,Data Scientist - Research,$41K-$72K (Glassdoor est.),,3.1,"C Space
3.1","Boston, MA",1999,Company - Public,,41,72,56.5
76,Data Scientist,$96K-$161K (Glassdoor est.),,3.2,"Numeric, LLC
3.2","Philadelphia, PA",-1,Company - Private,,96,161,128.5
77,R&D Data Analysis Scientist,$65K-$130K (Glassdoor est.),,4,"HP Inc.
4.0","Vancouver, WA",1939,Company - Public,,65,130,97.5
78,Analytics Consultant,$52K-$81K (Glassdoor est.),,4.4,"SpringML
4.4","Indianapolis, IN",2015,Company - Private,,52,81,66.5
79,"Director, Data Science",$139K-$220K (Glassdoor est.),,3.6,"Grainger
3.6","Lake Forest, IL",1927,Company - Public,,139,220,179.5
80,Scientist,$50K-$102K (Glassdoor est.),,2.7,"EAG Laboratories
2.7","Maryland Heights, MO",1978,Subsidiary or Business Segment,,50,102,76
81,Data Scientist SR,$85K-$139K (Glassdoor est.),,3.9,"The Buffalo Group
3.9","Charlottesville, VA",2010,Company - Private,,85,139,112
82,Data Scientist,$74K-$122K (Glassdoor est.),,3.1,"Carmeuse
3.1","Pittsburgh, PA",1860,Company - Private,,74,122,98
83,R&D Sr Data Scientist,$99K-$157K (Glassdoor est.),,4,"HP Inc.
4.0","Vancouver, WA",1939,Company - Public,,99,157,128
84,Customer Data Scientist/Sales Engineer (Bay,$79K-$222K (Glassdoor est.),,4.3,"h2o.ai
4.3","Mountain View, CA",2011,Company - Private,,79,222,150.5
85,Research Scientist,$57K-$118K (Glassdoor est.),,1.9,"GNS Healthcare
1.9","Cambridge, MA",2000,Company - Private,,57,118,87.5
86,Data Scientist,$83K-$137K (Glassdoor est.),,3.3,"Peraton
3.3","Chantilly, VA",2017,Company - Private,,83,137,110
87,Data Scientist,$86K-$141K (Glassdoor est.),,4.4,"Pactera
4.4","San Jose, CA",1995,Company - Private,,86,141,113.5
88,Data Scientist,$94K-$154K (Glassdoor est.),,3.9,"Nurx
3.9","San Francisco, CA",2016,Company - Private,,94,154,124
89,Jr. Business Data Analyst,$37K-$76K (Glassdoor est.),,4.7,"webfx.com
4.7","Harrisburg, PA",1997,Company - Private,,37,76,56.5
90,Data Scientist,$100K-$160K (Glassdoor est.),,4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD",1942,Nonprofit Organization,,100,160,130
91,Data Analyst,$55K-$100K (Glassdoor est.),,4.3,"Productive Edge
4.3","Chicago, IL",2008,Company - Private,,55,100,77.5
92,Data Engineer,$60K-$114K (Glassdoor est.),,4,"Excella Consulting
4.0","Arlington, VA",2002,Company - Private,,60,114,87
93,Data Analyst,$39K-$68K (Glassdoor est.),,4.4,"Gensco
4.4","Tacoma, WA",1948,Company - Private,,39,68,53.5
94,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),,3.2,"Walmart
3.2","Plano, TX",1962,Company - Public,,106,172,139
95,Data Scientist,$86K-$142K (Glassdoor est.),,3.8,"Logic20/20
3.8","San Jose, CA",2005,Company - Private,,86,142,114
96,Data Scientist,$64K-$107K (Glassdoor est.),,4.2,"goTRG
4.2","Miami, FL",2008,Company - Private,,64,107,85.5
97,Data Management Specialist,$31K-$65K (Glassdoor est.),,4.5,"NMR Consulting
4.5","Huntsville, AL",1996,Company - Private,,31,65,48
99,E-Commerce Data Analyst,$34K-$62K (Glassdoor est.),,3.5,"iSeatz
3.5","New Orleans, LA",1999,Company - Private,,34,62,48
101,Sr. Scientist II,$117K-$231K (Glassdoor est.),,3.5,"Nektar Therapeutics
3.5","San Francisco, CA",1990,Company - Public,,117,231,174
102,Insurance Data Scientist,$64K-$106K (Glassdoor est.),,3.9,"TransUnion
3.9","Atlanta, GA",1968,Company - Public,,64,106,85
104,Data Modeler,$79K-$134K (Glassdoor est.),,4.7,"IT Concepts
4.7","Landover, MD",2003,Company - Private,,79,134,106.5
105,Data Analyst / Scientist,$52K-$93K (Glassdoor est.),,4.2,"Scientific Research Corporation
4.2","Patuxent River, MD",1988,Company - Private,,52,93,72.5
106,Scientist,$55K-$116K (Glassdoor est.),,3.4,"General Dynamics Information Technology
3.4","Suitland, MD",1996,Subsidiary or Business Segment,,55,116,85.5
107,Data Scientist,$72K-$123K (Glassdoor est.),,3.2,"MITRE
3.2","McLean, VA",1958,Nonprofit Organization,,72,123,97.5
108,Data Scientist,$74K-$124K (Glassdoor est.),,3.9,"The Buffalo Group
3.9","Fort Belvoir, VA",2010,Company - Private,,74,124,99
109,Data Analyst,$40K-$73K (Glassdoor est.),,3.1,"DentaQuest
3.1","Milwaukee, WI",2001,Company - Private,,40,73,56.5
110,Lead Data Scientist,$102K-$164K (Glassdoor est.),,4.1,"Redjack
4.1","Silver Spring, MD",2007,Company - Private,,102,164,133
112,Data Scientist,$89K-$153K (Glassdoor est.),,3.8,"7Park Data
3.8","New York, NY",2012,Company - Private,,89,153,121
113,Data Scientist,$61K-$110K (Glassdoor est.),,4.7,"Rapid Response Monitoring
4.7","Syracuse, NY",1992,Company - Private,,61,110,85.5
116,"Data Scientist, Rice University",$65K-$110K (Glassdoor est.),,4.3,"Trilogy Ed
4.3","Houston, TX",2015,Subsidiary or Business Segment,,65,110,87.5
117,Senior Data Scientist,$200K-$275K(Employer est.),,4.2,"Gallup
4.2","Washington, DC",1935,Company - Private,,200,275,237.5
118,Data Engineer,$68K-$123K (Glassdoor est.),,3.9,"CapTech
3.9","Charlotte, NC",1997,Company - Private,,68,123,95.5
119,Senior Data Scientist,$80K-$129K (Glassdoor est.),,3.3,"American Axle & Manufacturing
3.3","Southfield, MI",1994,Company - Public,,80,129,104.5
120,Financial Data Analyst,$41K-$72K (Glassdoor est.),,4.7,"CentralReach
4.7","Matawan, NJ",2012,Company - Private,,41,72,56.5
122,Senior Data Analyst,$39K-$71K (Glassdoor est.),,4.3,"Integrate
4.3","Phoenix, AZ",2010,Company - Private,,39,71,55
123,Research Scientist,$38K-$85K (Glassdoor est.),,2.9,"Boys Town Hospital
2.9","Omaha, NE",1977,Hospital,,38,85,61.5
124,Data Scientist,$121K-$193K (Glassdoor est.),,4.5,"Demandbase
4.5","San Francisco, CA",2006,Company - Private,,121,193,157
125,Data Engineer,$54K-$102K (Glassdoor est.),,3.4,"Sapphire Digital
3.4","Lyndhurst, NJ",2019,Company - Private,,54,102,78
126,Data Scientist,$83K-$144K (Glassdoor est.),,3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA",1781,Company - Public,,83,144,113.5
127,Data Scientist,$120K-$160K (Glassdoor est.),,4.6,"<intent>
4.6","New York, NY",2009,Company - Private,,120,160,140
128,Data Scientist,$102K-$163K (Glassdoor est.),,3.2,"Formation
3.2","San Francisco, CA",2015,Company - Private,,102,163,132.5
129,Data Engineer,$76K-$140K (Glassdoor est.),,4,"Autodesk
4.0","San Francisco, CA",1982,Company - Public,,76,140,108
130,Ag Data Scientist,$60K-$101K (Glassdoor est.),,4.6,"Beck's Hybrids
4.6","Atlanta, IN",1937,Company - Private,,60,101,80.5
131,Data Scientist,$82K-$133K (Glassdoor est.),,2.8,"DrFirst
2.8","Rockville, MD",2000,Company - Private,,82,133,107.5
132,Data Engineer,$65K-$125K (Glassdoor est.),,4.7,"Object Partners
4.7","Minneapolis, MN",1996,Company - Private,,65,125,95
136,Data Scientist II,$91K-$148K (Glassdoor est.),,3,"L.A. Care Health Plan
3.0","Los Angeles, CA",1997,Nonprofit Organization,,91,148,119.5
137,Senior Data Engineer,$95K-$173K (Glassdoor est.),,3.2,"Red Ventures
3.2","Charlotte, NC",2000,Company - Private,,95,173,134
138,Data Scientist,$77K-$124K (Glassdoor est.),,4.4,"Quick Base
4.4","Cambridge, MA",1999,Company - Private,,77,124,100.5
139,Data Scientist,$80K-$135K (Glassdoor est.),,3.5,"The E.W. Scripps Company
3.5","Cincinnati, OH",1878,Company - Public,,80,135,107.5
140,Data Engineer,$85K-$159K (Glassdoor est.),,4,"Upside Business Travel
4.0","Washington, DC",2015,Company - Private,,85,159,122
141,Data Engineer,$80K-$105K(Employer est.),,4.3,"Equity Residential
4.3","Chicago, IL",1993,Company - Public,,80,105,92.5
142,Data Analyst,$43K-$81K (Glassdoor est.),,2.3,"Synagro
2.3","Baltimore, MD",1986,Company - Private,,43,81,62
